"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51"
"dbpedia-owl:areaTotal","dbpedia-owl:populationDensity","dbpedia-owl:areaLand","dbpedia-owl:areaWater","dbpedia-owl:percentageOfAreaWater","dbpedia-owl:populationMetro","dbpedia-owl:populationTotal","dbpprop:aprHighF","dbpprop:aprLowF","dbpprop:aprMeanF","dbpprop:aprRainDays","dbpprop:aprRainInch","dbpprop:areaLandKm","dbpprop:areaLandSqMi","dbpprop:areaTotalKm","dbpprop:areaTotalSqMi","dbpprop:areaWaterKm","dbpprop:areaWaterSqMi","dbpprop:augHighF","dbpprop:augLowF","dbpprop:augMeanF","dbpprop:augRainDays","dbpprop:augRainInch","dbpprop:decHighF","dbpprop:decLowF","dbpprop:decMeanF","dbpprop:decRainDays","dbpprop:decRainInch","dbpedia-owl:elevationFt","dbpedia-owl:elevationM","dbpedia-owl:foundingDate","dbpedia-owl:leaderTitle","dbpedia-owl:country","dbpedia-owl:governingBody","dbpedia-owl:governmentType","dbpedia-owl:postalCode","dbpedia-owl:utcOffset","dbpprop:coordinatesRegion","dbpprop:establishedTitle","dbpprop:location","dbpprop:name","dbpprop:officialName","dbpprop:subdivisionName","dbpprop:title","dbpprop:populationDemonym","dbpprop:timezone","foaf:nick","dbpprop:motto","dbpprop:website","dbpprop:flower","dbpedia-owl:areaCode","grs:point"
"1.51773303265689E7","304.8","670000.0","25899.88110336","0.8700000048","5172900.0","21825.0","48.3","51.0","46.0","3.0","5.62","5.36","7.4","10.7","2.2","0.0","0.0","81.2","71.0","81.0","4.8","3.89","28.5","38.7","40.3","1.3","2.75","213.0","601.0","2004-06-04","MP","United_States","Barisal_City_Corporation","Council%E2%80%93manager_government","67846, 67868","-5","Ca-aB","Incorporated","Lodi, California","Latehar","City of Malolos","United_States","Religions in Tonk","Sahagunense","Central_Time_Zone_(North_america)","The First Seaside Resort","""""""HorseTown USa""""""","http://www.westpointiowa.com/","Silk Tree","208","46.57694444444444 -119.0025"
"6474970.27584","316.6037700048","4090000.0","77699.64331008","0.4499999881","208777.0","155.0","66.0","35.5","54.0","7.0","2.87","1.89","2.5","2.1","11.89","0.1","0.0","89.6","70.2","72.8","5.2","5.08","49.0","19.0","26.2","1.1","2.0","827.0","450.0","1903-07-09","Mayor","Mexico","Greater_Hyderabad_Municipal_Corporation","Council%E2%80%93manager_government","95010, 95062","-5","RS","Incorporated","Belmopan","Ternopil","Wahpeton, North Dakota","United_States","Beaches of New Jersey","chilecitea/o","Central_Time_Zone_(North_america)","Brava Iere","Superior by Nature / The Gateway to the West","www.kundagoltown.gov.in","Paeonia_(plant)","+380-6566","40.87861111111111 -95.42777777777778"
"8.98E7","316.7196006524","5646174.08053248","0.0","1.0299999714","550000.0","66.0","67.0","36.8","47.3","11.5","1.02","9.4","0.67","0.39","15.8","0.0","0.0","81.0","56.3","68.0","9.6","4.07","47.0","38.2","49.0","6.0","0.71","525.0","220.0","1855-08-30","Mayor","United_States","Guwahati_Metropolitan_Development_authority","Mayor%E2%80%93council_government","44131","-5","US-CO","Incorporated","Copperas Cove, Texas","Dhing","Guatemala City","Montgomery_County,_Kansas","areas of Chennai","Nairobian","Central_Time_Zone_(North_america)","""""""City of a thousand trades"""",""","Tayo na sa antipolo!","http://www.cobon.net/","Satsuki_azalea","904","38.214444444444446 -84.55555555555556"
"800000.0","1115.4105258133","1.386E7","2071990.4882688","5.1199998856","11583.0","11421.0","37.9","37.0","52.0","5.8","4.94","12.405","2.19","10415.0","1.67","0.0","0.0","92.7","49.3","77.0","0.5","0.02","55.0","42.0","27.8","11.1","0.8","1102.0","281.0256","1948-07-16","Finance Director","United_States","Bhubaneswar_Municipal_Corporation","Mayor%E2%80%93council_government","40353","-6","US-Ga","Municipal_corporation","amman","Besisahar","Ely, Iowa","Dickson_County,_Tenneee","articles Related to Puerto Princesa","Dinanagari","Central_Time_Zone_(North_america)","""""""Stoke"""", """"The Potteries"""", """"the city of six towns""""""","Serbisyong makatao, Lungsod na Makabago,","http://www.paristexas.gov/","Prunus mume","701","31.939166666666665 -81.92694444444444"
"3600000.0","317.5","2.756E7","25899.88110336","0.0","91744.0","113754.0","74.0","49.0","46.1","10.0","","14.66","0.7","472.3","1.6","0.0","1.01","89.0","53.4","77.0","0.1","","62.7","24.0","29.3","1.0","","4777.0","392.8872","1891-06-06","Mayor","China","Kalyan-Dombivali","Vaughan_City_Council","48320","-5","CI","Founded","Roughly bounded by the St. Croix River, RR tracks, and Kennedy and Spruce Sts., Marine on St. Croix, Minnesota","Mizumaki","Gwangju Metropolitan City","Nobles_County,_Minnesota","Religions in Kalamnuri","ahvazi","Central_Time_Zone_(North_america)","DVG(Da-Van-Gere Or The One Line Town)","""""""Integritas Unitas Firmitas""""""","http://www.cityofdeephaven.org","Salvia_splendens","1","42.10138888888889 -72.59027777777777"
"1372693.69847808","747.8","1.313E7","0.0","0.0","3318486.0","38.0","76.0","47.5","48.6","4.5","","11.7","13.05","42.73","42.239","0.0","0.0","84.9","72.5","70.7","9.4","","45.0","39.8","57.1","12.8","","5758.0","292.9128","1621-03-18","Mayor","United_States","Delhi_Development_authority","Mayor%E2%80%93council_government","71730, 71731, 71768","-4","US-KY","Municipal_corporation","Vicente Guerrero, Durango","Huichon","City of Rijeka","Ohio","Places in Louisville Metro","Trelewense","Central_European_Time","""""""Gla City"""", """"The 740"""",""""The Stir"""", """"L Town""""""","""""""The Good Life""""""","http://www.cedar-rapids.org/","azalea","319","34.15972222222222 35.68527777777778"
"2600000.0","390.5809435815","1.25E7","51799.76220672","0.0","56794.0","22949.0","59.0","35.0","49.3","9.4","","10.7","0.53","3.26","2.11","0.05","0.0","90.0","64.0","68.0","6.0","","38.2","21.2","46.9","9.0","","745.0","3.048","1903-06-12","U.S. Congre","India","","Mayor%E2%80%93council_government","582208","-6","US-KY","City status","Montrose, Colorado","Gosford","City of San Jose del Monte","Tinogasta_Department","articles related to Manila","Dumagueteo","Pacific_Time_Zone","The Queen City, Bongington","""""""Small Town Charm Big Bright Future""""""","http://www.biglaketx.com/","Camellia","620","42.36666666666667 20.816666666666666"
"2175590.01268224","278.3","4.825E7","1010000.0","0.1299999952","1672319.0","44953.0","52.0","56.0","44.3","6.5","","0.75","0.09","6.92","0.944","0.0","0.0","94.0","68.0","70.0","16.0","","20.0","28.9","11.5","0.2","","1309.0","134.0","2002-01-01","City Manager","United_States","","Election","37070, 37072","-5","IR","First mentioned","Heyuan","New Heliopolis City","Marmarth, North Dakota","Columbiana_County,_Ohio","articles Related to Dumaguete","Fairbanksan","Central_Time_Zone_(North_america)","The Pearl of Tillamook Bay","""""""The Town With a Heart""""""","http://www.ambon.go.id/","Spring: Sakura","913","42.42472222222222 -94.14972222222222"
"5210000.0","117.2978357652","5310000.0","0.0","3.0499999523","4984482.0","17855.0","85.0","55.0","47.6","7.0","","2.9","1.37","2.23","0.86","0.0","0.0","91.0","67.5","79.0","11.8","","33.5","61.0","15.9","8.7","","1020.0","229.0","1536-07-25","City Manager","Iran","","Mayor%E2%80%93council_government","582 209","-3","Ca-SK","Founded","alcoa","Yuzawa","City of Fruita, Colorado","United_States","articles Related to San Juan, Metro Manila","vigues , viguesa","Mountain_Time_Zone","The 'Cuse, Salt City, Emerald City, The Heart of New York","""""""The High Point Of Nebraska""""""","http://www.statenislandusa.com/","azalea","951","30.518856 -82.951194"
