"Artist_URI","Linktodata","Titleofartwork","ImageURL","birthYear","deathYear","Dimensions","Technique_uri","Typeofartwork","Nationality_uri","Nationality","Artist_Appellation_URI","Artistname","Credit"
"E21_Person---dev#classLink","E22_Man-Made_Object---dev#classLink","E35_Title---rdf-schema#label","E38_Image---dev#classLink","E52_Time-Span---P82_at_some_time_within","E52_Time-Span---P82_at_some_time_within","E54_Dimension---P3_has_note","E55_Type---dev#classLink","E55_Type---rdf-schema#label","E74_Group---dev#classLink","E74_Group---rdf-schema#label","E82_Actor_Appellation---dev#classLink","E82_Actor_Appellation---rdf-schema#label","E8_Acquisition---P3_has_note"
"","http://www.artic.edu/aic/collections/artwork/134047?search_no=1&index=0","""Acrobat"" Upside Down Figure, 1926","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000004/50626_356716.jpg","","","27 x 16.5 x 7 cm (10 5/8 x 6 1/2 x 2 3/4 in.)","","Bronze","","American","","Gaston Lachaise","Bequest of Katharine Kuh"
"","http://www.artic.edu/aic/collections/artwork/156073?search_no=1&index=3","""Belmead"" Center table, c. 1846","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000005/6676_357883.jpg","","","72.4 x 104.1 x 90.2 cm (28 1/2 x 41 x 35 1/2 in.)","","Rosewood oak walnut marble","","American","","Alexander Jackson Davis","Gift of The Antiquarian Society"
"","http://www.artic.edu/aic/collections/artwork/158980?search_no=1&index=10","""Royal Flemish"" Vase, 1889/95","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000005/7092_358786.jpg","","","39.1 cm (15 3/8 in.)","","Partially gilded and painted blown mold glass
Height:","","American","","Mount Washington Glass Company","Through prior acquisitions of Rowena Marsh Abbott Kate L. Brewster Mr. and Mrs. Frederick Castle Emma B. Hodge Mrs. Potter Palmer II Edward Kendall Rogers Jerome and Irene Schultz and Mr. and Mrs. William Swartchild Jr."
"","http://www.artic.edu/aic/collections/artwork/97900?search_no=1&index=14","9th U.S. Infantry Entering Peking, August 15, 1900, 1900","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000143/4994_1490418.jpg","","","68.9 x 102.2 cm (27 1/8 x 40 1/4 in.)","","Oil on canvas","","American","","Frederic Remington","George F. Harding Collection"
"","http://www.artic.edu/aic/collections/artwork/28849?search_no=1&index=16","A City Park, c. 1887","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000140/4114_1461057.jpg","","","34.6 x 49.9 cm (13 5/8 x 19 5/8 in.)","","Oil on canvas","","American","","William Merritt Chase","Signed lower right: ""Wm M. Chase.""

Bequest of Dr. John J. Ireland"
"","http://www.artic.edu/aic/collections/artwork/27138?search_no=1&index=18","A Friendly Warning, 1881/90","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000073/3993_623731.jpg","","","62.9 x 81.9 cm (24 3/4 x 32 1/4 in.)","","Oil on canvas","","American","","Thomas Hicks","A.A. McKay Fund Income"
"","http://www.artic.edu/aic/collections/artwork/93802?search_no=1&index=17","A Face from Georgia, 1970/74","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000073/4530_623947.jpg","","","39.4 x 27.3 cm (15 1/2 x 10 3/4 in.)","","Oil on canvas","","American","","Ivan Albright","Signed lower right: Ivan Albright
dated lower left: 1974

Gift of Ivan Albright"
"","http://www.artic.edu/aic/collections/artwork/156072?search_no=77&index=31","Abigail Inskeep Bradford, 1803/08","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000005/6675_357991.jpg","","","68.6 x 55.9 cm (27 x 22 in.)","","Oil on canvas","","American","","Rembrandt Peale","Gift of Mrs. Herbert A. Vance"
"","http://www.artic.edu/aic/collections/artwork/103114?search_no=77&index=33","Abraham Lincoln, modeled 1912, cast after 1912","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000094/5100_763110.jpg","","","95.2 cm (37 1/2 in.)","","Bronze","","American","","Daniel Chester French","Inscribed top of base at left: ""Daniel C. French Sc./1912"" 
Foundry marks on back of base at right: ""Roman Bronze Works N.Y.""

Gift of Mrs. Philip D. Sang in memory of Philip D. Sang"
