"artist_uri","provenance","object_uri","title","imageURL","birth","death","date","dimensions","medium_URI","medium","classification_URI","classification","nationality_URI","nationality","artist_appellation_uri","name","credit"
"E21_Person---dev#classLink","E22_Man-Made_Object---P3_has_note","E22_Man-Made_Object---dev#classLink","E35_Title---rdf-schema#label","E38_Image---dev#classLink","E52_Time-Span---P82_at_some_time_within","E52_Time-Span---P82_at_some_time_within","E52_Time-Span---P82_at_some_time_within","E54_Dimension---P3_has_note","E55_Type---dev#classLink","E55_Type---rdf-schema#label","E55_Type---dev#classLink","E55_Type---rdf-schema#label","E74_Group---dev#classLink","E74_Group---rdf-schema#label","E82_Actor_Appellation---dev#classLink","E82_Actor_Appellation---rdf-schema#label","E8_Acquisition---P3_has_note"
"","Formerly in the collection of:The artist's student, Mrs. M. Noble Brainard, 1868-1901.Acquired in 1901.","","Indian Telegraph","http://www.dia.org/user_area/comping/01.2-S1.jpg","1814","1872","1860","20 x 15 1/2 in. (50.8 x 39.37 cm)Framed: 27 3/8 x 23 3/8 x 2 7/8 in.","","Oil on canvas","","Paintings","","American","","John Mix Stanley","Detroit Museum of Art Purchase, Popular Subscription Fund"
"","","","Winter Landscape","http://www.dia.org/user_area/comping/05.411-S1.jpg","1840","1896","1878","30 x 50 1/4 in. (76.2 x 127.6 cm)Framed: 45 1/8 x 65 1/8 x 6 1/4 in.","","Oil on canvas","","Paintings","","American","","Mortimer L. Smith","Gift of James L. Edison"
"","Theodore Scott DaboDIA in 1906","","The River Seine","http://www.dia.org/user_area/comping/06.1-D1.jpg","1866","1928","c. 1905","25 x 30 in.63.5 x 76.2 cm","","Oil on canvas","","Paintings","","American","","Theodore Scott Dabo","Gift of the artist"
"","Gift of the artist,  January 8, 1906.","","The Seashore","http://www.dia.org/user_area/comping/06.2-D1.jpg","1868","1960","c. 1900","30 1/4 x 34 in.  (76.8 x 86.36 cm)Framed: 39 1/4 x 43 1/4 x 2 1/2","","Oil on masonite","","Paintings","","American","","Leon Dabo","Gift of the artist"
"","Gari MelchersEdward Chandler Walker. (purchased from the artist in 1906).DIA in 1906","","The Wedding","http://www.dia.org/user_area/comping/06.4-D1.jpg","1860","1932","c. 1900","45 x 34 in. (114.3 x 86.4 cm)63 1/4 x 52 1/8 x 6 1/4 in.","","Oil on canvas","","Paintings","","American","","Gari Melchers","Gift of Edward Chandler Walker"
"","artist to New Montross Gallery to DIA, 1906.","","Before Sunrise, June","http://www.dia.org/user_area/comping/06.6-S1.jpg","1849","1925","1905","20 x 30 in.  (50.8 x 76.2 cm)Framed: 36 x 46 x 5 1/2 in.  (91.4 x 116.8 x 14.0 cm)","","Oil on canvas","","Paintings","","American","","Dwight William Tryon","Detroit Museum of Art Purchase, Picture Fund"
"","Mrs. John L. Gardner, as early as 1880.Acquired in 1907.","","Land and Sea","http://www.dia.org/user_area/comping/07.11.jpg","1841","1923","1871","20 x 28 in.50.8 x 71.1 cm","","Oil on canvas","","Paintings","","American","","William Mark Fisher","Gift of Mrs. John L. Gardner"
"","William Morris Hunt studio sale, Horticultural Hall, Tremont Street, Boston, February 3-4, 1880, no. 27, as Ball Players, Magnolia, 1877.  Mrs. John L. (Isabella Stewart) Gardner.  Acquired in 1907.","","The Ball Players","http://www.dia.org/user_area/comping/07.12-S1.jpg","1824","1879","1871","16 x 24 in.  (40.6 x 61.0 cm)Framed: 20 x 25 11/16 x 2 3/4 in.","","Oil on canvas","","Paintings","","American","","William Morris Hunt","Gift of Mrs. John L. Gardner"
"","Collection of James E. Scripps until 1907. Donated by family after Scripps's death.","","James Edmund Scripps","http://www.dia.org/user_area/comping/07.2-D1.jpg","1861","1931","1907","58 x 36 in.147.3 x 91.4 cm","","Oil on canvas","","Paintings","","American","","Robert J. Wickenden","Gift of the Estate of James E. Scripps"
"","Percy Ives (Commissioned by the museum board.)DIA in 1907","","First Board of Trustees of the Detroit Museum of Art","http://www.dia.org/user_area/comping/07.4.jpg","1864","1928","1907","75 x 111 in.190.5 x 281.9 cm","","Oil on canvas","","Paintings","","American","","Percy Ives","Gift of the members of the First Board of Trustees of the Detroit Museum of Art"
"","Julius C. RolshovenDIA in July 1907 (purchased by museum subscription)","","The Refectory of San Damiano, Assisi","http://www.dia.org/user_area/comping/07.8-D1.jpg","1858","1930","c. 1907","40 x 50 in. (101.6 x 127.0 cm)Framed: 51 5/8 x 61 3/4 x 3 3/4 in.","","Oil on canvas","","Paintings","","American","","Julius C. Rolshoven","Detroit Museum of Art Purchase, Popular Subscription Fund"
"","John Henry TwachtmanCharles Lang Freer (purchased from the artist through M. Knoedler and Co., NY, with DMA director Armand Griffith acting as agent), 1908DMA in 1908","","The Pool","http://www.dia.org/user_area/comping/08.7-S1.jpg","1853","1902","1890s","26 x 31 in.66.0 x 78.7 cmFramed: 33 9/16 x 38 5/8 x 3 1/8 in.","","Oil on canvas","","Paintings","","American","","John Henry Twachtman","Gift of Charles L. Freer"
"","Edward Chandler Walker.DIA in 1908.","","Women Admiring a Child","http://www.dia.org/user_area/comping/08.8-S1.jpg","1844","1926","1897","26 x 32 in. (66.0 x 81.3 cm)Framed: 31 7/8 x 38 1/4 x 2 1/4 in.","","Pastel","","Paintings","","American","","Mary Cassatt","Gift of Edward Chandler Walker"
"","Private collector, London, to Newman Montross Galleries. Montross to DIA, 1908.","","The Recitation","http://www.dia.org/user_area/comping/08.9-S1.jpg","1851","1938","1891","30 x 55 in.  (76.2 x 139.7 cm)Framed: 48 x 72 x 2 3/4 in.  (121.9 x 182.9 x 7.0 cm)","","Oil on canvas","","Paintings","","American","","Thomas Wilmer Dewing","Detroit Museum of Art Purchase, Picture Fund"
"","Artist to dealer Arthur P. Yorston, New York, ca. 1889; to Edward Chandler Walker, ca. 1909; To DIA in 1909 (with dealer Arthur P. Yorston acting as liason).","","In the Gloaming","http://www.dia.org/user_area/comping/09.26.jpg","1864","1918","1889","Framed: 30 13/16 x 40 7/8 x 4 7/16 in. (78.26 x 103.82 x 11.27 cm)19 x 28 7/8 in.48.3 x 73.3 cm","","Oil on canvas","","Paintings","","American","","Henry Golden Dearth","Gift of Edward Chandler Walker"
"","Elizabeth NourseInternational Art Union of ParisDMA in 1909.","","Happy Days","http://www.dia.org/user_area/comping/09.27-D1.jpg","1860","1938","1905","40 x 40 in.101.6 x 101.6 cm","","Oil on canvas","","Paintings","","American","","Elizabeth Nourse","Gift of the International Art Union of Paris"
"","The artist, until at least 1903.William O'Leary Gallery, Detroit.Acquired in 1909.","","Graveyard by the Sea","http://www.dia.org/user_area/comping/09.4.jpg","1832","1909","c. 1875","45 x 54 in. (114.3 x 137.2 cm)Frame:57 3/4 x 64 x 3 1/2 in.","","Oil on canvas","","Paintings","","American","","Robert Hopkin","Gift of Charles Willis Ward"
"","DMA purchase directly from the artist, September 2, 1909. William Yawkey Fund.","","Grey Days","http://www.dia.org/user_area/comping/09.8-D1.jpg","1869","1965","c. 1909","40 x 52 in. (101.6 x 132.1 cm)Framed: 52 3/4 x 65 x 4 1/4 in.","","Oil on canvas","","Paintings","","American","","Edward Willis Redfield","Detroit Museum of Art Purchase, William C. Yawkey Fund"
"","James Frederick Joy, Detroit, ca. 1873-74 until 1896.Mrs. James F. Joy, Detroit, 1896 until 1910.DIA in 1910.","","Syria by the Sea","http://www.dia.org/user_area/comping/10.11-S1.jpg","1826","1900","1873","56 x 85 in.  (142.2 x 215.9 cm)Framed: 80 x 108 x 5 1/2 in.","","Oil on canvas","","Paintings","","American","","Frederic Edwin Church","Gift of Mrs. James F. Joy"
"","Mary M. Stevens, until 1910.Acquired in 1910","","October Morning in New Hampshire","http://www.dia.org/user_area/comping/10.16-S1.jpg","1822","1900","1881","16 x 24 in.  (40.64 x 60.96 cm)Frame: 22 5/8 x 30 5/8 x 2 5/8 in. (57.5 x 77.8 x 6.7 cm)","","Oil  on canvas","","Paintings","","American","","William Louis Sonntag","Bequest of Mary M. Stevens"
"","Birge Harrison (purchased from artist in November, 1910)DIA in 1910","","Fifth Avenue at Twilight","http://www.dia.org/user_area/comping/10.21-D1.jpg","1854","1929","c. 1910","30 x 23 in.76.2 x 58.4 cm","","Oil on canvas","","Paintings","","American","","Birge Harrison","City of Detroit Purchase"
"","Willard Leroy MetcalfThe Montross Galleries, (Metcalf's Dealer)DIA in February of 1910.","","Unfolding Buds","http://www.dia.org/user_area/comping/10.6-D1.jpg","1858","1925","1909","26 x 29 in.66.0 x 73.7 cmFramed: 39 3/4 x 42 7/8 x 2 5/8 in.  ( 101 x 109 x 6.7 cm)","","Oil on canvas","","Paintings","","American","","Willard Leroy Metcalf","Detroit Museum of Art Purchase, Popular Subscription Fund"
"","Frederick E. CohenRobert Hopkin, Detroit; Mrs. Robert Hopkin, DIA in 1910.","","Self Portrait","http://www.dia.org/user_area/comping/10.9-S1.jpg","1810","1858","1845","28 x 23 3/4 in. (71.1 x 60.3 cm)Framed: 32 3/8 x 27 3/4 x 2 1/4 in.","","Oil on canvas","","Paintings","","American","","Frederick E. Cohen","Gift of Mrs. Robert Hopkin"
"","Charles Caryl ColemanDIA in 1911","","The Garden of the Villa Castello, Capri","http://www.dia.org/user_area/comping/11.3.jpg","1840","1928","1906","37 x 24 in. (94.0 x 61.0 cm)Framed: 51 1/4 x 38 x 3 1/2 in.","","Oil on canvas","","Paintings","","American","","Charles Caryl Coleman","Gift of friends of the artist"
"","Charles Willis Ward (commissioned by same in 1907).DIA in 1911.","","Chief Shoppenegons","http://www.dia.org/user_area/comping/11.4.jpg","1866","1936","1910","Canvas: 78 x 36 in. (198.1 x 91.4 cm)Framed: 91 7/8 x 49 3/4 x 3 1/2 in.","","Oil on canvas","","Paintings","","American","","Eanger Irving Couse","Gift of Charles Willis Ward"
"","Purchased from artist on August 14, 1911.DIA in 1911.","","Place Centrale and Fort Cabanas, Havana","http://www.dia.org/user_area/comping/11.5-D1.jpg","1859","1935","1895","21 1/4 x 26 1/4 in.54.0 x 66.7 cmFramed: 32 1/2 x 37 1/2 x 1 7/8 in.with frame: 32 1/2 x 37 1/2 x 1 5/8 in.82.6 x 95.3 x 4.1 cm","","Oil on canvas","","Paintings","","American","","Childe Hassam","City of Detroit Purchase"
"","John francis MurphyDIA (from artist through his dealer, Knoedler) in 1912.","","Autumn","http://www.dia.org/user_area/comping/12.1-S1.jpg","1853","1921","1912","Framed: 50 3/8 x 30 3/8 x 4 1/4 in. (127.48 x 77.15 x 10.8 cm)24 1/2 x 36 1/4 in.62.2 x 92.1 cm","","Oil on canvas","","Paintings","","American","","John Francis Murphy","Detroit Museum of Art Purchase, Popular Subscription Fund"
"","Sir Francis Baring, Bt., London, 1802; his son, Sir Thomas Baring, Bt., 1848.Baring sale, Christies, London, June 2-3, 1848, lot 26.A. Leonard Nicholson, London.Acquired in 1913.","","Belisarius and the Boy","http://www.dia.org/user_area/comping/13.11-S1.jpg","1738","1820","1802","26 x 19 in.  (67.31 x 48.3 cm)                                                          Framed : 34 3/4 x 27 1/2 x 3 3/4","","Oil on canvas","","Paintings","","American","","Benjamin West","Gift of A. Leonard Nicholson"
"","The artist to his wife, Florence M. Shirlaw, 1901Mrs. Shirlaw to DMA, 1913","","Wheat Fields, Vermont","http://www.dia.org/user_area/comping/13.2-S1.jpg","1838","1909","1880/1890","Framed: 21 3/4 x 36 9/16 x 2in. (55.25 x 92.87 x 5.08 cm)15 1/4 x 30 in.38.7 x 76.2 cm","","Oil on canvas","","Paintings","","American","","Walter Shirlaw","Gift of Mrs. Walter Shirlaw"
