"Process","person_uri","object_uri","Artwork_Name","image","Artwork_Year","Dimensions","person_appellation_uri","name","Provenance"
"E12_Production---P3_has_note","E21_Person---dev#classLink","E22_Man-Made_Object---dev#classLink","E35_Title---rdf-schema#label","E38_Image---dev#classLink","E52_Time-Span---P82_at_some_time_within","E54_Dimension---P3_has_note","E82_Actor_Appellation---dev#classLink","E82_Actor_Appellation---rdf-schema#label","E8_Acquisition---P3_has_note"
"Cinderblocks, stools, planks, light, audio","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=88.1&dim=300px","","18 x 120 x 192 in. (45.7 x 304.8 x 487.7 cm)","","Vito Acconci","The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by the National Endowment for the Arts, a Federal agency, and The Broad Art Foundation"
"Ceramic","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2006.40&dim=300px","","16 x 16 x 13 in. (40.6 x 40.6 x 33 cm)","","Robert Arneson","The Museum of Contemporary Art, Los Angeles
Gift of the Lasky Charitable Lead Trust, Marshall P. Levine and Harlan B. Levine, Trustees, in honor of Morelle I. Levine and Norman D. Levine"
"Cinderblocks, stools, planks, light, audio","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=88.1&dim=300px","","18 x 120 x 192 in. (45.7 x 304.8 x 487.7 cm)","","Vito Acconci","The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by the National Endowment for the Arts, a Federal agency, and The Broad Art Foundation"
"6 prints, aquatint and photoetching, edition 11/25","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=81.1A-F&dim=300px","","Each: 23 1/2 x 31 in. (59.7 x 78.7 cm)","","Vito Acconci","The Museum of Contemporary Art, Los Angeles
Gift of The American Art Foundation"
"Dye coupler photograph, edition 1/25","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=98.6&dim=300px","","20 x 24 in. (50.8 x 61 cm)","","Richard Misrach","The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by William Chase and Tom Levine"
"C-print mounted on aluminum","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.257&dim=300px","","30 x 40 in. (76.2 x 101.6 cm)","","Deborah Mesa-Pelly","The Museum of Contemporary Art, Los Angeles
Gift of Steven Neu"
"Cinderblocks, stools, planks, light, audio","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=88.1&dim=300px","","18 x 120 x 192 in. (45.7 x 304.8 x 487.7 cm)","","Vito Acconci","The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by the National Endowment for the Arts, a Federal agency, and The Broad Art Foundation"
"6 prints, aquatint and photoetching, edition 11/25","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=81.1A-F&dim=300px","","Each: 23 1/2 x 31 in. (59.7 x 78.7 cm)","","Vito Acconci","The Museum of Contemporary Art, Los Angeles
Gift of The American Art Foundation"
"Rebar, plaster, canvas, steel cable, audio, and lights","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=91.8&dim=300px","","288 x 96 x 60 in. (731.5 x 243.8 x 152.4 cm)","","Vito Acconci","The Museum of Contemporary Art, Los Angeles
Gift of James Corcoran Gallery"
