"artist_uri","object_uri","title","image_url","birth_date","death_date","made","dim","nationality_URI","nationality","artist_appellation_uri","artist","prov"
"E21_Person---dev#classLink","E22_Man-Made_Object---dev#classLink","E35_Title---rdf-schema#label","E38_Image---dev#classLink","E52_Time-Span---P82_at_some_time_within","E52_Time-Span---P82_at_some_time_within","E52_Time-Span---P82_at_some_time_within","E54_Dimension---P3_has_note","E74_Group---dev#classLink","E74_Group---rdf-schema#label","E82_Actor_Appellation---dev#classLink","E82_Actor_Appellation---rdf-schema#label","E8_Acquisition---P3_has_note"
"","","Washington Square,","http://images.nortonsimon.org/viewer/index.php?id=PH.1971.184","","","1969","Image: 13-1/4 x 19-5/8 in. (33.7 x 49.8 cm)","","American","","Jerry Burchard","Norton Simon Museum, Gift of the Artist"
"","","Untitled,","http://images.nortonsimon.org/viewer/index.php?id=P.1967.20.294","","","1967","sheet: 22-3/8 x 30-1/8 in. (56.8 x 76.5 cm)","","American","","John Butke","Norton Simon Museum, Anonymous Gift, 1967"
"","","Untitled,","http://images.nortonsimon.org/viewer/index.php?id=P.1967.20.292","","","1967","sheet: 22-1/4 x 30 in. (56.5 x 76.2 cm)","","American","","John Butke","Norton Simon Museum, Anonymous Gift, 1967"
"","","Untitled,","http://images.nortonsimon.org/viewer/index.php?id=P.1967.20.293","","","1967","sheet: 22-1/4 x 30 in. (56.5 x 76.2 cm)","","American","","John Butke","Norton Simon Museum, Anonymous Gift, 1967"
"","","The Yellow Boat,","http://images.nortonsimon.org/viewer/index.php?id=F.1985.2.1.P","","","1891","28-3/4 x 36-3/8 in. (73.0 x 92.5 cm)","","French","","Gustave Caillebotte","The Norton Simon Foundation"
"","","The Limpet #2,","","","","1969","Image: 6-5/8 x 9-5/16 in. (16.8 x 23.7 cm)","","American","","Wynn Bullock","Norton Simon Museum, Gift of the Artist"
"","","Nude Behind Cobwebbed Window,","","","","1955","Image: 9-3/8 x 7-3/8 in. (23.8 x 18.7 cm)","","American","","Wynn Bullock","Norton Simon Museum, Gift of the Artist"
"","","Not Wanting to Say Anything About Marcel,","http://images.nortonsimon.org/viewer/index.php?id=P.1970.06.5","","","1969","27-5/8 x 40 in. (70.2 x 101.6 cm)","","American","","John Cage","Norton Simon Museum, Gift of Mrs. Judith Thomas, 1970"
"","","Kelp, Rocks and Sea,","http://images.nortonsimon.org/viewer/index.php?id=P.1967.14","","","1954","71-7/8 x 47-7/8 in. (182.6 x 121.6 cm)","","American","","William Brice","Norton Simon Museum, Gift of Mr. and Mrs. Melvin Hirsh"
"","","Figures and Stream,","http://images.nortonsimon.org/viewer/index.php?id=P.1968.27.179","","","1966","Sheet: 23-7/8 x 18-7/8 in. (60.6 x 47.9 cm)","","American","","William Brice","Norton Simon Museum, Anonymous Gift, 1968"
"","","Not Wanting to Say Anything About Marcel,","http://images.nortonsimon.org/viewer/index.php?id=P.1970.06.4","","","1969","14-3/8 x 20-1/8 x 10-5/8 in. (36.5 x 51.1 x 27.0 cm)","","American","","John Cage","Norton Simon Museum, Gift of Mrs. Judith Thomas, 1970"
"","","Not Wanting to Say Anything About Marcel,","http://images.nortonsimon.org/viewer/index.php?id=P.1970.06.3","","","1969","14-3/8 x 20-1/8 x 10-5/8 in. (36.5 x 51.1 x 27.0 cm)","","American","","John Cage","Norton Simon Museum, Gift of Mrs. Judith Thomas, 1970"
"","","Still Life with Musical Instruments,","http://images.nortonsimon.org/viewer/index.php?id=M.1986.2.P","","","1918","25-1/2 x 36-1/4 in. (64.8 x 92.1 cm)","","French","","Georges Braque","Norton Simon Art Foundation"
"","","Pitcher, Score, Fruits and Napkin,","http://images.nortonsimon.org/viewer/index.php?id=M.1977.15.1.P","","","1926","14-1/2 x 47-1/4 in. (36.8 x 120.0cm)","","French","","Georges Braque","Norton Simon Art Foundation"
"","","Artist and Model,","http://images.nortonsimon.org/viewer/index.php?id=M.1976.05.P","","","1939","51-1/8 x 70-7/8 in. (129.9 x 180 cm)","","French","","Georges Braque","Norton Simon Art Foundation"
"","","Muse (la Muse),","","","","1912","17-1/2 in. (44.5 cm)","","Romanian","","Constantin Brancusi","Norton Simon Art Foundation"
"","","Bird in Space,","http://images.nortonsimon.org/viewer/index.php?id=F.1972.08.S","","","1931","73 in. (185.4 cm)","","Romanian","","Constantin Brancusi","The Norton Simon Foundation"
"","","Not Wanting to Say Anything About Marcel,","http://images.nortonsimon.org/viewer/index.php?id=P.1970.06.2","","","1969","14-3/8 x 20-1/8 x 10-5/8 in. (36.5 x 51.1 x 27.0 cm)","","American","","John Cage","Norton Simon Museum, Gift of Mrs. Judith Thomas, 1970"
"","","Not Wanting to Say Anything About Marcel,","http://images.nortonsimon.org/viewer/index.php?id=P.1970.06.1","","","1969","14-3/8 x 20-1/8 x 10-5/8 in. (36.5 x 51.1 x 27.0 cm)","","American","","John Cage","Norton Simon Museum, Gift of Mrs. Judith Thomas, 1970"
"","","Canoe on the Yerres River,","http://images.nortonsimon.org/viewer/index.php?id=M.2010.1.238.P","","","1878","25-7/8 x 31-7/8 in. (65.7 x 81.0 cm)","","French","","Gustave Caillebotte","Norton Simon Art Foundation, from the Estate of Jennifer Jones Simon"
"","","Washington Square,","http://images.nortonsimon.org/viewer/index.php?id=PH.1971.183","","","1969","Image: 13-1/4 x 19-5/8 in. (33.7 x 49.8 cm)","","American","","Jerry Burchard","Norton Simon Museum, Gift of the Artist"
"","","Washington Square,","http://images.nortonsimon.org/viewer/index.php?id=PH.1970.010","","","1969","Image: 19-5/8 x 13-1/4 in. (49.8 x 33.7 cm)","","American","","Jerry Burchard","Norton Simon Museum, Anonymous Gift"
"","","Washington Square,","http://images.nortonsimon.org/viewer/index.php?id=PH.1970.009","","","1969","Image: 13-1/8 x 19-5/8 in. (33.3 x 49.8 cm)","","American","","Jerry Burchard","Norton Simon Museum, Anonymous Gift"
"","","Regrets,","http://images.nortonsimon.org/viewer/index.php?id=M.2010.1.170.P","","","1826-1827","36-1/4 x 46-3/4 in. (92.1 x 118.8 cm)","","French","","Claude-Marie Dubufe","Norton Simon Art Foundation, from the Estate of Jennifer Jones Simon"
