" name"," foot"," position"," height"
"Player---name","Player---strongFoot","Player---playPosition","Player---height"
" Gábor Király"," Right"," GK"," 191"
" Frederik Boi"," Right"," M"," 184"
" Tomasz Szewczuk"," Right"," A"," 185"
" Steeve Joseph-Reinette"," Left"," D"," 180"
" Kamel Chafni"," Right"," M"," 181"
" Abdoulaye Faye"," Right"," D"," 187"
" José Saez"," Right"," M"," 170"
" Laurent Delorge"," Right"," M"," 179"
" David Noble"," Right"," M"," 183"
" Dominic Foley"," Left"," A"," 186"
" Brian Barry-Murphy"," Left"," M"," 185"
" Paul McKenna"," Right"," M"," 170"
" Paweł Abbott"," Right"," A"," 187"
" Richard Cresswell"," Right"," A"," 183"
" David Healy"," Right"," A"," 173"
" Dickson Etuhu"," Right"," M"," 188"
" Ashley Westwood"," Right"," D"," 183"
" Paul Ifill"," Right"," A"," 180"
" David Artell"," Right"," D"," 188"
" Martin Rowlands"," Right"," M"," 175"
" Paul Smith"," Right"," GK"," 193"
" Kevin O'Connor"," Right"," D"," 180"
" Stephen Hunt"," Left"," D"," 185"
" Jay Tabb"," Left"," M"," 170"
" Brynjar Gunnarsson"," Right"," M"," 183"
" James O'Connor"," Right"," M"," 173"
" Karl Henry"," Right"," M"," 185"
" Gareth Owen"," Left"," D"," 185"
" Kris Commons"," Left"," M"," 168"
" Stefanos Kotsolis"," Right"," GK"," 190"
" Louis Carey"," Right"," D"," 178"
" Steve Phillips"," Right"," GK"," 185"
" Danny Coles"," Right"," D"," 185"
" Sotirios Kyrgiakos"," Right"," D"," 193"
" Monsef Zerka"," Right"," M"," 183"
" Romain Poyet"," Right"," A"," 184"
" David Hellebuyck"," Left"," M"," 178"
" Nicoló Consolini"," Right"," D"," 180"
" Neca"," Right"," M"," 177"
" Oka Nikolov"," Right"," GK"," 188"
" Rolf-Christel Guié-Mien"," Right"," M"," 177"
" Michael Ratajczak"," Right"," GK"," 187"
" Ivan Klasnić"," Left"," A"," 186"
" Clemens Fritz"," Right"," D"," 183"
" Otto Fredrikson"," Right"," GK"," 189"
" Cacau"," Right"," A"," 179"
" Sascha Kirschstein"," Right"," GK"," 196"
" Tomasz Kuszczak"," Right"," GK"," 190"
" Timo Ochs"," Right"," GK"," 189"
" Daniel Haas"," Right"," GK"," 188"
" Conor Casey"," Right"," A"," 188"
" Mathias Abel"," Right"," D"," 188"
" Giuseppe Greco"," Left"," A"," 182"
" Peter Schyrba"," Right"," D"," 185"
" Carsten Rothenbach"," Right"," D"," 184"
" Antônio da Silva"," Left"," M"," 178"
" Jens Langeneke"," Right"," D"," 185"
" Goran Šukalo"," Right"," M"," 193"
" David McCracken"," Left"," D"," 188"
" Andreas Görlitz"," Right"," D"," 179"
" Markus Miller"," Right"," GK"," 189"
" Robert Green"," Right"," GK"," 188"
" Adam Drury"," Left"," D"," 180"
" Darel Russell"," Right"," M"," 178"
" Dexter Langen"," Right"," M"," 186"
" David Lucas"," Left"," GK"," 188"
" Graham Alexander"," Right"," M"," 180"
" Rob Edwards"," Right"," D"," 185"
" Filip Trojan"," Left"," M"," 172"
" Simone Padoin"," Right"," M"," 179"
" Claudio Terzi"," Right"," D"," 180"
" Marco Pisano"," Left"," D"," 174"
" Luca Belingheri"," Right"," M"," 183"
" Stefano Morrone"," Right"," M"," 178"
" Petri Pasanen"," Right"," D"," 187"
" Stefan Leitl"," Right"," A"," 178"
" Ranisav Jovanović"," Left"," A"," 193"
" Markus Feulner"," Right"," M"," 181"
" Zvjezdan Misimović"," Right"," M"," 180"
" Ivica Grlić"," Right"," M"," 187"
" Florian Heller"," Right"," A"," 179"
" Matt Hill"," Left"," D"," 173"
" Craig Woodman"," Left"," D"," 175"
" Ruud van Nistelrooy"," Right"," A"," 188"
" Seol Ki Hyeon"," Right"," A"," 187"
" John Oster"," Right"," M"," 175"
" Andrea Cossu"," Right"," M"," 171"
" Marcin Malinowski"," Right"," M"," 179"
" Alan Dunne"," Right"," D"," 180"
" Mark Phillips"," Right"," D"," 188"
" Ben May"," Left"," A"," 185"
" Gerald Sibon"," Right"," A"," 196"
" Nicolas Timmermans"," Right"," D"," 183"
" Jürgen Säumel"," Left"," M"," 184"
" Alberto Aquilani"," Right"," M"," 186"
" Simone Pepe"," Right"," M"," 178"
" Mahamet Diagouraga"," Right"," D"," 188"
" Roberto Carlos"," Left"," M"," 168"
" Sergio Bernardo Almirón"," Right"," M"," 176"
" Philipp Bönig"," Left"," D"," 178"
" Javier Zanetti"," Right"," M"," 178"
" Marius Ebbers"," Right"," A"," 192"
" Benjamin Köhler"," Left"," M"," 172"
" Liam Miller"," Right"," M"," 170"
" Rune Almenning Jarstein"," Right"," GK"," 190"
" Chris Burke"," Right"," M"," 175"
" Trond Erik Bertelsen"," Left"," D"," 174"
" Christian Grindheim"," Right"," M"," 179"
" Jérôme Rothen"," Left"," M"," 177"
" Benjamin Kibebe"," Right"," D"," 187"
" Daniel Braaten"," Right"," M"," 184"
" David Prutton"," Right"," M"," 185"
" Jack Lester"," Right"," A"," 175"
" Barry Roche"," Right"," GK"," 193"
" Frédéric Page"," Right"," D"," 185"
" Sven Müller"," Right"," M"," 191"
" Jean Francois Gillet"," Left"," GK"," 181"
" Lionel Pizzinat"," Right"," M"," 183"
" Jaime Valdés"," Right"," M"," 176"
" Richarlyson"," Left"," M"," 176"
" Gaetano D'Agostino"," Left"," M"," 182"
" Moris Carrozzieri"," Right"," D"," 192"
" Patrick Owomoyela"," Right"," D"," 187"
" Xavi"," Right"," M"," 170"
" Grétar Steinsson"," Right"," D"," 189"
" Zoran Tošić"," Left"," M"," 171"
" Daniele Martinelli"," Right"," D"," 181"
" François-Joseph Modesto"," Right"," M"," 183"
" Daniele Conti"," Right"," M"," 178"
" David Suazo"," Right"," A"," 182"
" Aleksandar Vuković"," Right"," M"," 186"
" Łukasz Załuska"," Right"," GK"," 191"
" Alexander Iashvili"," Left"," A"," 175"
" Dennis Kruppke"," Right"," M"," 179"
" Lars Jungnickel"," Right"," D"," 180"
" Gurpegi"," Right"," M"," 181"
" Luciano Zauri"," Right"," D"," 178"
" Artur Boruc"," Right"," GK"," 193"
" Tomasz Kiełbowicz"," Left"," D"," 179"
" Cesare Bovo"," Right"," D"," 181"
" Karel Geraerts"," Right"," M"," 186"
" Adriano"," Left"," A"," 190"
" Dennis Eilhoff"," Right"," GK"," 190"
" Julien François"," Left"," M"," 192"
" Andrew Frampton"," Left"," D"," 185"
" Marek Saganowski"," Right"," A"," 178"
" Iraola"," Right"," D"," 182"
" Arriaga"," Right"," A"," 171"
" Aduriz"," Right"," A"," 182"
" Łukasz Surma"," Right"," M"," 173"
" Dickson Choto"," Right"," D"," 192"
" Gabri"," Right"," M"," 175"
" Grégory Pujol"," Right"," A"," 183"
" Valdés"," Right"," GK"," 183"
" Dani Tortolero"," Right"," D"," 184"
" Giacomo Tedesco"," Left"," M"," 176"
" Gianluca Pegolo"," Left"," GK"," 183"
" Mirko Vučinić"," Right"," A"," 186"
" Alberto Comazzi"," Right"," D"," 178"
" Davide Brivio"," Left"," D"," 185"
" Max von Schlebrügge"," Left"," D"," 188"
" Michael Langer"," Right"," GK"," 193"
" Marc Ziegler"," Right"," GK"," 193"
" Fahid Ben Khalfallah"," Right"," M"," 170"
" Benjamin Genton"," Right"," D"," 188"
" Yohann Pelé"," Right"," GK"," 196"
" Mickaël Tacalfred"," Right"," D"," 175"
" Johan Audel"," Left"," M"," 180"
" Andrea Campagnolo"," Right"," GK"," 184"
" Alessandro Del Piero"," Right"," A"," 173"
" John Mensah"," Right"," D"," 180"
" Federico Agliardi"," Right"," GK"," 190"
" René Renno"," Right"," GK"," 186"
" Juanfran"," Left"," D"," 182"
" Hamit Altintop"," Right"," M"," 183"
" Tom Starke"," Right"," GK"," 195"
" Lúcio"," Right"," D"," 188"
" Markus Thorandt"," Right"," D"," 187"
" Markus Bollmann"," Right"," D"," 190"
" Markus Krösche"," Right"," M"," 180"
" César Navas"," Right"," D"," 194"
" Collin Benjamin"," Right"," M"," 182"
" Deniz Dogan"," Left"," D"," 182"
" Reto Ziegler"," Left"," D"," 183"
" Eduardo"," Right"," A"," 178"
" Stephan Lichtsteiner"," Right"," D"," 183"
" Patrick Mtiliga"," Left"," D"," 171"
" Kris De Wree"," Right"," D"," 185"
" Delron Buckley"," Left"," M"," 177"
" Enzo Maresca"," Right"," M"," 180"
" Marco Streller"," Left"," A"," 195"
" Frankie Hejduk"," Right"," D"," 173"
" David Degen"," Right"," M"," 185"
" Wim De Decker"," Right"," M"," 186"
" Alessandro Nesta"," Right"," D"," 187"
" Michael Flynn"," Right"," M"," 178"
" Chris Porter"," Right"," A"," 185"
" Alan Murphy"," Left"," A"," 174"
" Christian Weber"," Right"," D"," 175"
" Alexandr Kerzhakov"," Right"," A"," 176"
" Bram Castro"," Right"," GK"," 191"
" Pablo Aimar"," Right"," M"," 170"
" Yakubu"," Right"," A"," 183"
" Peter Løvenkrands"," Left"," A"," 180"
" Youssef El-Akchaoui"," Left"," D"," 174"
" Gareth McAuley"," Right"," D"," 191"
" Marco Di Vaio"," Right"," A"," 179"
" Mark Wilson"," Right"," D"," 178"
" Juan Pablo"," Right"," GK"," 187"
" Ochoa"," Left"," D"," 191"
" Romain Rocchi"," Right"," M"," 183"
" Dorado"," Left"," D"," 180"
" Pelegrín"," Left"," D"," 184"
" Generelo"," Right"," M"," 183"
" Cani"," Right"," M"," 180"
" Pinto"," Right"," GK"," 185"
" Luciano"," Right"," D"," 184"
" Borja Oubiña"," Right"," M"," 181"
" Dani Mallo"," Right"," GK"," 186"
" Carlo Cudicini"," Right"," GK"," 185"
" Josemi"," Right"," D"," 182"
" Duda"," Left"," M"," 175"
" Manolo"," Right"," D"," 173"
" Nacho"," Left"," D"," 175"
" Juanma"," Right"," M"," 176"
" Sylvain Wiltord"," Right"," A"," 174"
" Carlos García"," Right"," D"," 184"
" Edu Albácar"," Left"," D"," 177"
" Moises Hurtado"," Right"," M"," 185"
" Crusat"," Left"," A"," 162"
" Jonathan Soriano"," Right"," A"," 180"
" Corominas"," Right"," A"," 171"
" Tariq"," Right"," A"," 183"
" Maximiliano Rodríguez"," Right"," A"," 180"
" Carmelo"," Right"," M"," 180"
" Sergio"," Right"," D"," 191"
" Traianos Dellas"," Right"," D"," 196"
" Dele Adebola"," Left"," A"," 191"
" Grégory Proment"," Right"," M"," 176"
" Paolo Orlandoni"," Right"," GK"," 186"
" Jofre"," Left"," M"," 171"
" Alberto"," Right"," GK"," 190"
" Riera"," Left"," A"," 188"
" Güiza"," Right"," A"," 180"
" Moyá"," Right"," GK"," 185"
" Kike Mateo"," Right"," M"," 176"
" Rubén"," Right"," D"," 187"
" Borja"," Right"," M"," 188"
" Gaspar"," Right"," D"," 182"
" Mario"," Left"," D"," 178"
" Óscar"," Right"," M"," 176"
" De Lucas"," Right"," M"," 175"
" Aganzo"," Left"," A"," 177"
" Kevin Kyle"," Right"," A"," 191"
" Simon Ramsden"," Right"," D"," 183"
" Stefan Buck"," Left"," D"," 189"
" Alexander Schnetzler"," Left"," D"," 173"
" Aranburu"," Left"," M"," 180"
" Christian Timm"," Right"," M"," 180"
" Riesgo"," Right"," GK"," 185"
" Labaka"," Right"," D"," 185"
" Mikel Alonso"," Right"," M"," 180"
" Albelda"," Right"," M"," 181"
" David Navarro"," Right"," D"," 183"
" Garrido"," Left"," D"," 180"
" Tena"," Right"," D"," 185"
" Jandro"," Right"," M"," 175"
" Pablo Redondo"," Right"," M"," 175"
" Albiol"," Right"," M"," 177"
" Dani Bautista"," Left"," D"," 177"
" Abel"," Right"," M"," 182"
" Arteaga"," Left"," A"," 167"
" Reyes"," Left"," A"," 176"
" Javi Venta"," Right"," D"," 180"
" Oguchi Onyewu"," Right"," D"," 194"
" Martí"," Right"," M"," 180"
" Steeve Elana"," Right"," GK"," 187"
" Alexandre Alphonse"," Right"," A"," 174"
" Andreas Wolf"," Right"," D"," 182"
" Sascha Riether"," Right"," D"," 174"
" Florian Jarjat"," Left"," D"," 181"
" Romain Larrieu"," Right"," GK"," 188"
" Graham Coughlan"," Right"," D"," 188"
" Paul Wotton"," Right"," M"," 180"
" Paul Connolly"," Right"," D"," 183"
" Blair Sturrock"," Right"," A"," 183"
" Miroslav Klose"," Right"," A"," 184"
" Fabien Audard"," Right"," GK"," 188"
" Chaouki Ben Saada"," Left"," A"," 170"
" Corona"," Right"," D"," 182"
" Liam Feeney"," Right"," M"," 183"
" Thomas Butler"," Right"," M"," 170"
" Carlos Idriss Kameni"," Right"," GK"," 186"
" Bas Savage"," Right"," A"," 191"
" Guilherme Afonso"," Right"," A"," 187"
" Florian Bruns"," Left"," M"," 188"
" Franck Béria"," Right"," D"," 177"
" Sébastien Grax"," Right"," A"," 180"
" Jaroslav Plašil"," Right"," M"," 182"
" Bertrand Robert"," Left"," M"," 174"
" Jérémy Toulalan"," Right"," M"," 183"
" Frazer Richardson"," Right"," D"," 178"
" Shane Cansdell-Sherriff"," Left"," D"," 182"
" Jérémy Mathieu"," Left"," D"," 190"
" Rémi Gomis"," Right"," M"," 180"
" Cédric Bockhorni"," Right"," D"," 182"
" François Zoko"," Right"," A"," 181"
" Renaud Cohade"," Right"," M"," 180"
" Julien Cardy"," Right"," M"," 176"
" Thibault Giresse"," Left"," M"," 172"
" Cédric Fauré"," Right"," A"," 186"
" Michel Renggli"," Right"," M"," 180"
" Matabuena"," Right"," M"," 185"
" Sergey Ignashevich"," Right"," D"," 186"
" Juanma Ortiz"," Right"," M"," 179"
" Iván Hernández"," Right"," D"," 185"
" Diego Rivas"," Right"," M"," 180"
" Richi"," Right"," M"," 187"
" Asen"," Right"," A"," 181"
" Josetxo"," Right"," D"," 185"
" Pablo Contreras"," Right"," D"," 181"
" Jim Goodwin"," Left"," M"," 183"
" David Lopez"," Right"," A"," 181"
" Antonio López"," Left"," D"," 175"
" Culebras"," Right"," D"," 187"
" Juninho"," Right"," M"," 178"
" Cristian Fiél"," Left"," M"," 182"
" Jesús Vázquez"," Left"," M"," 182"
" Fousseni Diawara"," Right"," D"," 183"
" Jermaine Jones"," Right"," M"," 184"
" Peña"," Left"," D"," 170"
" Martin Devaney"," Right"," A"," 178"
" Clavero"," Left"," D"," 175"
" Jaio"," Right"," D"," 186"
" Merino"," Right"," M"," 175"
" Jon Harley"," Left"," D"," 178"
" Mauricio Pinilla"," Right"," A"," 185"
" Federico Balzaretti"," Left"," D"," 178"
" Davide Mandelli"," Left"," D"," 190"
" Vlada Avramov"," Right"," GK"," 187"
" Michele Marcolini"," Left"," M"," 173"
" Paolo Zanetti"," Right"," M"," 186"
" Francesco Modesto"," Left"," M"," 177"
" Almunia"," Right"," GK"," 193"
" Matthew Spring"," Right"," M"," 183"
" Saizar"," Right"," A"," 175"
" Sarriegi"," Right"," D"," 185"
" Sastre"," Right"," D"," 179"
" Rubén Suárez"," Left"," M"," 167"
" David Villa"," Right"," A"," 175"
" Alejandro"," Right"," GK"," 183"
" David Bauzá"," Left"," M"," 188"
" Emmerson Boyce"," Right"," D"," 184"
" Steve Howard"," Right"," A"," 191"
" Arzu"," Right"," M"," 184"
" Moha"," Left"," A"," 170"
" Nino"," Right"," A"," 169"
" Emilio Rentería"," Right"," A"," 175"
" Lee Mansell"," Right"," M"," 175"
" Matt Gilks"," Right"," GK"," 185"
" Clive Platt"," Right"," A"," 193"
" Ortiz"," Right"," A"," 172"
" Sorribas"," Right"," M"," 179"
" Nacho Rodríguez"," Left"," A"," 180"
" Javier Baraja"," Right"," D"," 179"
" Nano"," Left"," D"," 186"
" Robbie Russell"," Right"," D"," 180"
" Andriy Voronin"," Right"," A"," 176"
" Christian Wetklo"," Right"," GK"," 190"
" Andrew Dawson"," Left"," D"," 175"
" Nathan Stanton"," Right"," D"," 175"
" Marcel Maltritz"," Right"," D"," 186"
" Jamie McCombe"," Right"," D"," 196"
" Marco Wölfli"," Left"," GK"," 186"
" Luigi Pieroni"," Right"," A"," 187"
" Juanma"," Left"," GK"," 182"
" Abraham Paz"," Right"," D"," 178"
" Iñaki Bea"," Right"," D"," 185"
" Dean Bennett"," Right"," M"," 183"
" Iraizoz"," Right"," GK"," 191"
" Mike Edwards"," Right"," D"," 183"
" Andy Holt"," Left"," D"," 185"
" Jérémy Hénin"," Right"," D"," 186"
" Gary Alexander"," Right"," A"," 180"
" Cristian"," Right"," D"," 169"
" Bruno Berner"," Left"," D"," 185"
" Diego Benaglio"," Right"," GK"," 194"
" Armando"," Right"," D"," 186"
" Peter Murphy"," Left"," D"," 183"
" Marchena"," Right"," D"," 183"
" Calatayud"," Right"," GK"," 191"
" Mario Eggimann"," Right"," D"," 189"
" Christofer Heimeroth"," Right"," GK"," 194"
" Rubén Castro"," Right"," A"," 174"
" Pedro Vega"," Left"," M"," 168"
" Richie Foran"," Left"," A"," 185"
" Christian Bermúdez"," Right"," M"," 160"
" Ricardo Fuller"," Right"," A"," 191"
" Mathias Kouo-Doumbé"," Right"," D"," 185"
" Rod Fanni"," Right"," D"," 186"
" Eric Chelle"," Left"," D"," 179"
" David Martin"," Right"," GK"," 188"
" Bertrand Laquait"," Right"," GK"," 185"
" Olivier Sorin"," Right"," GK"," 189"
" Benjamin Nicaise"," Right"," M"," 183"
" Youssouf Hadji"," Right"," A"," 183"
" Fabrice Abriel"," Right"," M"," 176"
" Paul Morgan"," Right"," D"," 183"
" François Pantxi Sirieix"," Right"," M"," 180"
" Nicolas Marin"," Right"," A"," 171"
" Cédric Carrasso"," Right"," GK"," 187"
" Peter Gain"," Left"," M"," 175"
" Nikolče Noveski"," Left"," D"," 190"
" Marco Kurth"," Right"," M"," 178"
" Pascal Berenguer"," Right"," M"," 175"
" Cédric Kanté"," Left"," D"," 181"
" Richard Logan"," Right"," A"," 185"
" Grégory Malicki"," Left"," GK"," 188"
