"Age","Number","Position","Player","Country"
"Player---age","Player---tag","Player---playPosition","Player---name","SportsTeam---name"
"18","19","Forward","Fabrice OLINGA","Cameroon"
"18","23","Defender","Luke SHAW","England"
"19","14","Midfielder","Nabil BENTALEB","Algeria"
"19","17","Forward","Divock ORIGI","Belgium"
"19","20","Midfielder","Adnan JANUZAJ","Belgium"
"19","23","Midfielder","Carlos GRUEZO","Ecuador"
"19","19","Midfielder","Raheem STERLING","England"
"19","13","Defender","Jose GIMENEZ","Uruguay"
"19","16","Midfielder","Julian GREEN","USA"
"20","5","Defender","Sead KOLASINAC","Bosnia & Herzegovina"
"20","16","Forward","Ante REBIC","Croatia"
"20","20","Midfielder","Mateo KOVACIC","Croatia"
"20","15","Midfielder","Alex OXLADE CHAMBERLAIN","England"
"20","21","Midfielder","Ross BARKLEY","England"
"20","17","Defender","Lucas DIGNE","France"
"20","14","Midfielder","Julian DRAXLER","Germany"
"20","3","Defender","Matthias GINTER","Germany"
"20","13","Goalkeeper","Stefanos KAPINO","Greece"
"20","1","Goalkeeper","Luis LOPEZ","Honduras"
"20","9","Forward","Alireza JAHAN BAKHSH","Iran"
"20","14","Defender","Terence KONGOLO","Netherlands"
"20","21","Forward","Memphis DEPAY","Netherlands"
"20","22","Defender","Kenneth OMERUO","Nigeria"
"20","2","Defender","DeAndre YEDLIN","USA"
"21","9","Forward","Adam TAGGART","Australia"
"21","21","Midfielder","Massimo LUONGO","Australia"
"21","8","Defender","Bailey WRIGHT","Australia"
"21","9","Forward","Romelu LUKAKU","Belgium"
"21","7","Midfielder","Muhamed BESIC","Bosnia & Herzegovina"
"21","20","Forward","BERNARD","Brazil"
"21","4","Defender","Cedric DJEUGOUE","Cameroon"
"21","20","Midfielder","Edgar SALLI","Cameroon"
"21","16","Defender","Eder BALANTA","Colombia"
"21","20","Midfielder","Juan QUINTERO","Colombia"
"21","9","Forward","Joel CAMPBELL","Costa Rica"
"21","12","Goalkeeper","Oliver ZELENIKA","Croatia"
"21","15","Midfielder","Ivan MOCINIC","Croatia"
"21","14","Midfielder","Marcelo BROZOVIC","Croatia"
"21","19","Midfielder","Paul POGBA","France"
"21","4","Defender","Raphael VARANE","France"
"21","15","Defender","Rashid SUMAILA","Ghana"
"21","17","Midfielder","Andy NAJAR","Honduras"
"21","23","Midfielder","Marco VERRATTI","Italy"
"21","2","Defender","Mattia DE SCIGLIO","Italy"
"21","13","Goalkeeper","Mattia PERIN","Italy"
"21","23","Goalkeeper","Sayouba MANDE","Ivory Coast"
"21","14","Midfielder","Ismael DIOMANDE","Ivory Coast"
"21","7","Defender","Jean Daniel AKPA","Ivory Coast"
"21","17","Defender","Serge AURIER","Ivory Coast"
"21","5","Defender","Diego REYES","Mexico"
"21","7","Forward","Ahmed MUSA","Nigeria"
"21","17","Midfielder","Ogenyi ONAZI","Nigeria"
"21","15","Midfielder","Ramon AZEEZ","Nigeria"
"21","18","Forward","Michael BABATUNDE","Nigeria"
"21","15","Forward","RAFA","Portugal"
"21","9","Midfielder","SON Heungmin","South Korea"
"21","19","Forward","Josip DRMIC","Switzerland"
"21","10","Midfielder","Granit XHAKA","Switzerland"
"21","13","Defender","Ricardo RODRIGUEZ","Switzerland"
"21","6","Defender","John BROOKS","USA"
"22","19","Midfielder","Saphir TAIDER","Algeria"
"22","20","Defender","Aissa MANDI","Algeria"
"22","11","Midfielder","Tommy OAR","Australia"
"22","1","Goalkeeper","Maty RYAN","Australia"
"22","10","Forward","Ben HALLORAN","Australia"
"22","3","Defender","Jason DAVIDSON","Australia"
"22","7","Midfielder","Kevin DE BRUYNE","Belgium"
"22","1","Goalkeeper","Thibaut COURTOIS","Belgium"
"22","20","Midfielder","Izet HAJROVIC","Bosnia & Herzegovina"
"22","14","Midfielder","Tino Sven SUSIC","Bosnia & Herzegovina"
"22","10","Forward","NEYMAR","Brazil"
"22","11","Midfielder","OSCAR","Brazil"
"22","10","Forward","Vincent ABOUBAKAR","Cameroon"
"22","21","Midfielder","Joel MATIP","Cameroon"
"22","1","Goalkeeper","Loic FEUDJOU","Cameroon"
"22","10","Midfielder","James RODRIGUEZ","Colombia"
"22","4","Defender","Santiago ARIAS","Colombia"
"22","17","Midfielder","Yeltsin TEJEDA","Costa Rica"
