"Number","Team","FullName","Position","ClubCountry","Club","IsCaptain","DateOfBirth"
"Player---tag","SportsTeam---name","Player---name","Player---playPosition","League---name","SportsClub---name","Player---isCaptain","Player---birthDate"
"1","South Africa","Moeneeb Josephs","GK","RSA","Orlando Pirates FC","FALSE","5/19/1980"
"2","South Africa","Siboniso Gaxa","DF","RSA","Mamelodi Sundowns F.C.","FALSE","4/6/1984"
"3","South Africa","Tsepo Masilela","DF","ISR","Maccabi Haifa F.C.","FALSE","5/5/1985"
"4","South Africa","Aaron Mokoena","DF","ENG","Portsmouth F.C.","TRUE","11/25/1980"
"5","South Africa","Anele Ngcongca","DF","BEL","K.R.C. Genk","FALSE","10/20/1987"
"6","South Africa","MacBeth Sibaya","MF","RUS","FC Rubin Kazan","FALSE","11/25/1977"
"7","South Africa","Lance Davids","MF","RSA","Ajax Cape Town FC","FALSE","4/11/1985"
"8","South Africa","Siphiwe Tshabalala","MF","RSA","Kaizer Chiefs FC","FALSE","9/25/1984"
"9","South Africa","Katlego Mphela","FW","RSA","Mamelodi Sundowns F.C.","FALSE","11/29/1984"
"10","South Africa","Steven Pienaar","MF","ENG","Everton F.C.","FALSE","3/17/1982"
"11","South Africa","Teko Modise","MF","RSA","Orlando Pirates FC","FALSE","12/22/1982"
"12","South Africa","Reneilwe Letsholonyane","MF","RSA","Kaizer Chiefs FC","FALSE","6/9/1982"
"13","South Africa","Kagisho Dikgacoi","MF","ENG","Fulham F.C.","FALSE","11/24/1984"
"14","South Africa","Matthew Booth","DF","RSA","Mamelodi Sundowns F.C.","FALSE","3/14/1977"
"15","South Africa","Lucas Thwala","DF","RSA","Orlando Pirates FC","FALSE","10/19/1981"
"16","South Africa","Itumeleng Khune","GK","RSA","Kaizer Chiefs FC","FALSE","6/20/1987"
"17","South Africa","Bernard Parker","FW","NED","FC Twente","FALSE","3/16/1986"
"18","South Africa","Siyabonga Nomvethe","FW","RSA","Moroka Swallows F.C.","FALSE","12/2/1977"
"19","South Africa","Surprise Moriri","MF","RSA","Mamelodi Sundowns F.C.","FALSE","3/20/1980"
"20","South Africa","Bongani Khumalo","DF","RSA","Supersport United F.C.","FALSE","1/6/1987"
"21","South Africa","Siyabonga Sangweni","DF","RSA","Golden Arro","FALSE","9/29/1981"
"22","South Africa","Shu-Aib Walters","GK","RSA","Maritzburg United F.C.","FALSE","12/26/1981"
"23","South Africa","Thanduyise Khuboni","MF","RSA","Golden Arro","FALSE","5/23/1986"
"1","Mexico","","GK","MEX","Chiapas F.C.","FALSE","2/1/1973"
"2","Mexico","","DF","NED","PSV Eindhov","FALSE","10/20/1981"
"3","Mexico","Carlos Salcido","DF","NED","PSV Eindhov","FALSE","4/2/1980"
"4","Mexico","","DF","ESP","FC Barcelona","TRUE","2/13/1979"
"5","Mexico","Ricardo Osorio","DF","GER","VfB Stuttga","FALSE","3/30/1980"
"6","Mexico","Gerardo Torrado","MF","MEX","Cruz Az","FALSE","4/30/1979"
"7","Mexico","Pablo Barrera","MF","MEX","Club Universidad Nacional","FALSE","6/21/1987"
"8","Mexico","Israel Castro","MF","MEX","Club Universidad Nacional","FALSE","12/29/1980"
"9","Mexico","Guillermo Franco","FW","ENG","West Ham United F.C.","FALSE","11/3/1976"
