"Guns","Seller","Since","Image","Main","New","ATF","Copyright","file_name","Rifles","Start","","Price","Location"
"Firearm---category","PersonOrOrganization---identifier","CreativeWork---Fragment","CreativeWork---Fragment","CreativeWork---Fragment","CreativeWork---Fragment","CreativeWork---Fragment","CreativeWork---Fragment","CreativeWork---Fragment","Offer---identifier","Offer---datePosted","Offer---name","Offer---price","Place---name"
"Rifles","Skanderbeg31","November 14, 2015","image2.JPG","","image4.JPG",": 1991","2015","02BB505335316DAEE8BC83444ED123A0B195798B458AD0414FD3C4AC444C6F5A.html","556014","Nov 14, 2015","Daniel Defense DDM4 V5 With hard case and extras","1,700","Seminole"
"Rifles","lucyLOU","August 21, 2014","","","1791619.jpg",": 2085","2015","04ECECD66E4E47DE82DE3F95DACAAD5147AF3E7DA4E9A50ED675973657E2A4E0.html","556819","Nov 19, 2015","Marlin 336 jm cs 35 Rem","550","Golt"
"Pistols","harley2003","September 24, 2012","","","IMG_20151021_142119.jpg",": 2387","2015","0AE1A77E2CE6C5593BAAD538D004DC750A4FE203E8ED8561FD5B52F98923FB80.html","556090","Nov 14, 2015","STI Full Race 40 cal Pistol","2,000","Ft Pierce"
"Rifles","dodge_ram_driver","December 10, 2011","","","SAM_0225.JPG",": 1348","2015","0FF8D09ECC8C6515FC8CEE5CD701FF5CAD2E4BF113B730BDE16D1369C120C747.html","557130","Nov 21, 2015","left hand remington 7MM bdl new","1,000","Jacksonville"
"Pistols","nwdsk8er","January 30, 2013","","","IMG_0392.JPG",": 2084","2015","124A9230871E5408AC46345029550930C5F1EACD67CE79EA9CAAD91876DADA82.html","556466","Nov 16, 2015","FNH FNX45","0","Tamp"
"","ceasar","February 29, 2012","","","A70tan_2-1-2.jpg",": 2172","2015","131A2113F0E809EA9A74FF5E6E0E46F3C221D925B2D8D7266278C698F0FFDCB3.html","556837","Nov 19, 2015","ZOMBIE STOPPER XPS3-2 RED/GREEN REFLEX SIGHT CLONE","0","Venice Osprey"
"","user64947","March 25, 2014","","","Fed AutoMatch.jpg",": 2312","2015","190D97D4680D62AA9A87F9134BA135F83C765F1E16DDB4C0501A10AA60444DFE.html","556319","Nov 15, 2015","22 LR Ammo - Federal AutoMatch 325","23","Melbourne"
"Black Powder","dragon","December 2, 2011","","","",": 1505","2015","19146688935311D4E2EAFA3F963AF838288DE9DA6C88784EE4D89B3C77646551.html","556662","Nov 18, 2015","CVA Optima V2 Stainless Steel 209 w/ scope  case","330","Defuniak Springs"
"Pistols","lightning0450","October 16, 2012","","","IMG_4482.jpg",": 1697","2015","1AAB5BEAA984CBA0EDCE49AE2C12ECB148A901C3C65CD096DF5221E7D1F3A93B.html","556532","Nov 17, 2015","Desert Eagle 50 Compansated","0","Miami"
"Rifles","bestdealz321","March 17, 2011","","","IMG_0303.JPG",": 2154","2015","21337B76762DA8CF800FCA3AAAFC62071A8ECD746120324D0E82253AA7B46FD0.html","556829","Nov 19, 2015","New Del-ton 5.56 AR W/ Forward Assist  Dust Cover","610","West Melbourne"
"Pistols","user92223","December 10, 2014","1941 Walther P-38 009.JPG","","1941 Walther P-38 002.JPG",": 6961","2015","23637FD2C7BF694161BD6E1B6A5289C1C30CC3D9F82A344EB257B312C424BF22.html","556500","Nov 16, 2015","1941 Nazi Walther P-38 Pistol - Matching Numbers","0","North Of Tamp"
"Rifles","mz9142","November 9, 2013","","","",": 842","2015","23BC11B9FD174D7CA98336BB596F6B0C994BD2BE6D8292B0A36C90AB58E040C9.html","556907","Nov 20, 2015","SAVAGE MODEL 11 FHNS 308 WIN","550","East Orlando"
"","Masterblasters","October 29, 2012","","","20151118_173323.jpg",": 2214","2015","24AAC19A6196CCD9019F17DB21C26583C76470AE5616109706BA86F114352735.html","556764","Nov 19, 2015","Safariland soft body armor panels ,level 2","60","Jacksonville"
"Pistols","joe32780","April 16, 2010","","","238-3.jpg",": 874","2015","2AAC14BD46AD08AF413E014A09ABAB76EC5BB3C21AE995BED77D0059BB4AAC7F.html","555963","Nov 14, 2015","Sig Sauer P238","550","Titusville"
"Pistols","FlaglerScott","September 1, 2011","","","",": 3771","2015","2F071D382D86CEA18FC8EDFD0CF0ACD7C0F41B7438165EF746AB57CB79E1138F.html","556271","Nov 15, 2015","2 for 1 TRADE Sig/Glock","0","DAYTONA"
"Pistols","boomer550","August 25, 2010","","","",": 2242","2015","2FFD2FCD1C95F50466FC24DF6A2AB99C26CE733B38EFF14D72D1B0C7DFFD149C.html","557060","Nov 20, 2015","Ad Responses Really?","0","Lake Worth"
"Pistols","Skypilot","January 6, 2011","","","SUNP0220.JPG",": 18644","2015","30454EF81CEA8A8D57C17070FFFAD356EB0C6FAD985D2D18110ED32CA7B07851.html","556195","Nov 15, 2015","THE KIMBER SUPER CARRY CUSTOM 45 EXCELLENT","900","Land O Lakes"
"","cannondale126","May 2, 2014","","","primers 001.JPG",": 1427","2015","328D3EC75DF9F8202D6C19190773664A1A34EF5602FD37B4642E603582BAB523.html","557134","Nov 21, 2015","Primers! Cases Win CCI Fed Small Rifle Lg Rifle","100","Port Saint Lucie"
"Pistols","mrspeedking","September 25, 2010","IMG_2013.JPG","","IMG_2012.JPG",": 2749","2015","340A88040C0963BD46C23B673F3D108991E2E4471E914FABF802CF93B9D12628.html","557501","Nov 22, 2015","ruger 45 cal","500","Mtverde"
"Pistols","harley2003","September 24, 2012","","","IMG_20151021_133817.jpg",": 2312","2015","34DC0AB0BBF35FAF6F16B31ED0927671937C436B2B8C498D4E34C020A595D3D8.html","556085","Nov 14, 2015","Keltec PL16 pistol in 223/556","575","Ft Pierce"
"","Chadzbly32","February 29, 2012","","","DSC_3212.JPG",": 1751","2015","356528D53BF817BE8C1F4473DAABC36DA63BF6553DCED7473F0716608F70244D.html","557106","Nov 21, 2015","3000 380 ACP 100gr RNFP copper plated bullets","200","Winter Haven"
"","ray1425","November 20, 2011","hornady3.jpg","","hornady1.jpg",": 6469","2015","3A5ED3F9483A043CB7974FA88BF05FCE6F0BC6B0CE8F1176ADF05DD7406FB9B4.html","556260","Nov 15, 2015","Hornady Lock-N-Load Auto Progressive Press","250","Edgewater"
"Rifles","jojomec","August 29, 2010","","","",": 4361","2015","3D30A439D102D8D7B350FF870A3D2C834E3818385FBB34A6D7AE8012D1A188F7.html","556476","Nov 16, 2015","fn fal 308 norna mag 4 boxes of ammo and dies","450","Brooksville"
