"$oid","temp_min","humidity","weather_description","id","weather_main","temp_max","lon","snow","rain","pressure","base","lat","dt","wind_speed","clouds","name","temp","country","weather_id","wind_deg","weather_icon","sunset"
"$oid","temp_min","humidity","weather_description","id","weather_main","temp_max","lon","snow","rain","pressure","base","lat","dt","wind_speed","clouds","name","temp","country","weather_id","wind_deg","weather_icon","sunset"
"575be1248cc86c6be1d98835","296.48","57","clear sky","4896861","Clear","296.48","-89.25","None","None","1011","cmc stations","40","1465638631","5.02","0","Illinois","296.48","US","800","210.522","01n","1465694778"
"575bef348cc86c6c26cfedf3","295.93","70","clear sky","4896861","Clear","295.93","-89.25","None","None","1011","cmc stations","40","1465642232","1.54","0","Illinois","295.93","US","800","217","01d","1465694779"
"575bfd448cc86c6c65a8726b","295.93","65","clear sky","4896861","Clear","295.93","-89.25","None","None","1011","stations","40","1465645832","2.57","0","Illinois","295.93","US","800","219","01d","1465694780"
"575c0b548cc86c6c9c332a62","297.59","70","clear sky","4896861","Clear","297.59","-89.25","None","None","1011","cmc stations","40","1465649432","3.08","0","Illinois","297.59","US","800","222","01d","1465694781"
"575c19648cc86c6cde4302df","299.82","63","clear sky","4896861","Clear","299.82","-89.25","None","None","1011","stations","40","1465653033","3.6","0","Illinois","299.82","US","800","240","01d","1465694783"
"575c27748cc86c6d15fbb036","302.04","65","clear sky","4896861","Clear","302.04","-89.25","None","None","1012","cmc stations","40","1465656632","4.63","0","Illinois","302.04","US","800","None","01d","1465694784"
"575c35848cc86c6d66c9ac6e","303.71","65","clear sky","4896861","Clear","303.71","-89.25","None","None","1012","stations","40","1465660233","5.14","0","Illinois","303.71","US","800","None","01d","1465694785"
"575c51a48cc86c6de39d4067","305.93","58","clear sky","4896861","Clear","305.93","-89.25","None","None","1012","cmc stations","40","1465667432","0.51","0","Illinois","305.93","US","800","252","01d","1465694787"
"575c5fb58cc86c6e1cd07e39","305.93","58","clear sky","4896861","Clear","305.93","-89.25","None","None","1012","stations","40","1465671033","4.11","0","Illinois","305.93","US","800","285","01d","1465694788"
"575c6dc48cc86c6e572649b8","305.37","49","clear sky","4896861","Clear","305.37","-89.25","None","None","1012","stations","40","1465674632","3.08","0","Illinois","305.37","US","800","258","01d","1465694789"
"575c7bd48cc86c6e92ba1ed4","304.26","49","clear sky","4896861","Clear","304.26","-89.25","None","None","1012","cmc stations","40","1465678233","1.03","0","Illinois","304.26","US","800","262","01d","1465694790"
"575c89e48cc86c6ed3b8cc30","304.26","49","clear sky","4896861","Clear","304.26","-89.25","None","None","1011","cmc stations","40","1465681832","4.57","0","Illinois","304.26","US","800","247.001","01d","1465694792"
"575c97f58cc86c6f0e926ad9","304.82","45","clear sky","4896861","Clear","304.82","-89.25","None","None","1011","cmc stations","40","1465685408","3.11","0","Illinois","304.82","US","800","248.003","01d","1465694793"
"575ca6048cc86c6f470529e1","305.37","45","clear sky","4896861","Clear","305.37","-89.25","None","None","1011","stations","40","1465688407","2.06","0","Illinois","305.37","US","800","252","01d","1465694794"
"575cb4148cc86c6f8f8233b4","304.26","45","clear sky","4896861","Clear","304.26","-89.25","None","None","1011","cmc stations","40","1465692009","3.11","0","Illinois","304.26","US","800","248.003","01n","1465781195"
"575cc2238cc86c6fc80bc1fa","304.26","53","clear sky","4896861","Clear","304.26","-89.25","None","None","1011","cmc stations","40","1465692009","2.58","8","Illinois","304.26","US","800","212.004","02n","1465781196"
"575cd0348cc86c7008687bc1","300.289","53","clear sky","4896861","Clear","300.289","-89.25","None","None","1005.92","stations","40","1465700394","2.58","8","Illinois","300.289","US","800","212.004","02n","1465781197"
"575cde448cc86c703db342c0","300.289","53","clear sky","4896861","Clear","300.289","-89.25","None","None","1005.92","stations","40","1465703994","2.58","8","Illinois","300.289","US","800","212.004","02n","1465781198"
"575cec548cc86c7078860d4b","298.777","56","clear sky","4896861","Clear","298.777","-89.25","None","None","1006.33","cmc stations","40","1465706864","3.94","8","Illinois","298.777","US","800","229.5","02n","1465781199"
"575cfa648cc86c70b87171d8","298.777","56","clear sky","4896861","Clear","298.777","-89.25","None","None","1006.33","cmc stations","40","1465710463","3.94","8","Illinois","298.777","US","800","229.5","02n","1465781200"
"575d08748cc86c7168607a8c","298.777","56","clear sky","4896861","Clear","298.777","-89.25","None","None","1006.33","cmc stations","40","1465714063","3.94","8","Illinois","298.777","US","800","229.5","02n","1465781202"
"575d16858cc86c7209557919","298.737","60","broken clouds","4896861","Clouds","298.737","-89.25","None","None","1006.65","cmc stations","40","1465717664","4.15","56","Illinois","298.737","US","803","244.009","04n","1465781203"
"575d24948cc86c72449aec79","298.737","60","broken clouds","4896861","Clouds","298.737","-89.25","None","None","1006.65","cmc stations","40","1465721263","4.15","56","Illinois","298.737","US","803","244.009","04n","1465781204"
"575d32a48cc86c729e947741","298.737","60","broken clouds","4896861","Clouds","298.737","-89.25","None","None","1006.65","cmc stations","40","1465724863","4.15","56","Illinois","298.737","US","803","244.009","04n","1465781205"
"575d40b48cc86c72d5184c7a","297.59","75","scattered clouds","4896861","Clouds","297.59","-89.25","None","None","1013","cmc stations","40","1465728609","1.54","48","Illinois","297.59","US","802","247","03d","1465781206"
"575d4ec38cc86c731844ee3c","298.15","75","scattered clouds","4896861","Clouds","298.15","-89.25","None","None","1013","cmc stations","40","1465732209","1.67","48","Illinois","298.15","US","802","319.501","03d","1465781207"
"575d5cd48cc86c736a74d2a9","299.26","75","scattered clouds","4896861","Clouds","299.26","-89.25","None","None","1014","cmc stations","40","1465735810","1.67","48","Illinois","299.26","US","802","319.501","03d","1465781208"
"575d6ae48cc86c739e202fd2","298.71","66","broken clouds","4896861","Clouds","298.71","-89.25","None","None","1014","stations","40","1465739409","3.6","64","Illinois","298.71","US","803","None","04d","1465781209"
"575b46788cc86c65da58c72a","297.59","92","moderate rain","5257570","Rain","297.59","-91.42","None","5.015","967","stations","44.93","1465599028","4.19","44","Irvine","297.59","US","501","261.001","10d","1465609937"
"575b548f8cc86c6627a6b7aa","294.82","91","moderate rain","5257570","Rain","294.82","-91.42","None","5.015","967","stations","44.93","1465602631","4.19","44","Irvine","294.82","US","501","261.001","10d","1465696338"
"575b62a68cc86c666d09fea0","294.26","93","moderate rain","5257570","Rain","294.26","-91.42","None","5.015","967","stations","44.93","1465606635","4.19","44","Irvine","294.26","US","501","261.001","10n","1465696339"
"575b70ba8cc86c66a89e15b8","293.71","92","light rain","5257570","Rain","293.71","-91.42","None","1.865","968","stations","44.93","1465609841","0.51","12","Irvine","293.71","US","500","190","10n","1465696341"
"575b7eba8cc86c66dbf2bb7f","292.59","93","moderate rain","5257570","Rain","292.59","-91.42","None","8.485","969","cmc stations","44.93","1465613441","3.76","44","Irvine","292.59","US","501","207.001","10n","1465696342"
"575b8cc98cc86c671dc4291b","292.04","92","light rain","5257570","Rain","292.04","-91.42","None","1.865","969","stations","44.93","1465617044","2.91","12","Irvine","292.04","US","500","192.501","10n","1465696343"
"575b9ad98cc86c6758cea02a","292.04","91","light rain","5257570","Rain","292.04","-91.42","None","2.05","970","cmc stations","44.93","1465620649","3.91","48","Irvine","292.04","US","500","207.5","10n","1465696345"
"575ba8ea8cc86c6791828930","292.04","91","light rain","5257570","Rain","292.04","-91.42","None","2.05","970","cmc stations","44.93","1465624254","3.91","48","Irvine","292.04","US","500","207.5","10n","1465696346"
"575bb6f98cc86c687bc2812b","291.48","91","light rain","5257570","Rain","291.48","-91.42","None","2.05","970","cmc stations","44.93","1465627864","3.91","48","Irvine","291.48","US","500","207.5","10n","1465696347"
"575bc5098cc86c693bd4153f","291.48","91","few clouds","5257570","Clouds","291.48","-91.42","None","0.1","970","cmc stations","44.93","1465630867","4.02","20","Irvine","291.48","US","801","228.522","02n","1465696349"
"575bd3198cc86c6b9eaccfa7","291.48","91","few clouds","5257570","Clouds","291.48","-91.42","None","0.1","970","cmc stations","44.93","1465634472","4.02","20","Irvine","291.48","US","801","228.522","02n","1465696350"
"575be1298cc86c6be1d98852","290.93","91","clear sky","5257570","Clear","290.93","-91.42","None","None","971","stations","44.93","1465638676","4.92","8","Irvine","290.93","US","800","230.522","02n","1465696351"
