"0","1","2","3","4","5","6","7","8","9","10"
"datetime:time","Place","temperature","tempinf","sky","windspeed","windspeedinmph","winddir","visibility","visibilityinmi","Zip"
"03:25 p.m.","""Linden NJ""","90 F","90.0","Partly Cloudy","14 mph","14.0","SSE","8.0 miles","8.0","7036"
"12:25 p.m.","""North Bend OR""","58 F","58.0","Partly Cloudy","12 mph","12.0","W","10.0 miles","10.0","97459"
"02:25 p.m.","""Gadsden AL""","77 F","77.0","Thunder","11 mph","11.0","W","10.0 miles","10.0","35903"
"03:25 p.m.","""Boston MA""","68 F","68.0","Sunny","9 mph","9.0","ESE","10.0 miles","10.0","2120"
"01:25 p.m.","""Salt Lake City UT""","45 F","45.0","Rain Shower","8 mph","8.0","NW","8.0 miles","8.0","84102"
"03:25 p.m.","""Salem VA""","88 F","88.0","Partly Cloudy","7 mph","7.0","SW","10.0 miles","10.0","24153"
"03:25 p.m.","""Manchester CT""","84 F","84.0","Sunny","20 mph","20.0","S","8.0 miles","8.0","6040"
"02:25 p.m.","""Adrian MN""","85 F","85.0","Sunny","15 mph","15.0","SSW","10.0 miles","10.0","56110"
"12:25 p.m.","""Coeur d' Alene ID""","57 F","57.0","Sunny","4 mph","4.0","WNW","10.0 miles","10.0","83814"
"03:25 p.m.","""Washington DC""","86 F","86.0","Partly Cloudy","13 mph","13.0","S","8.0 miles","8.0","20007"
"02:25 p.m.","""Evanston IL""","75 F","75.0","Fair","17 mph","17.0","W","10.0 miles","10.0","60201"
"12:25 p.m.","""Milton WA""","58 F","58.0","Mostly Cloudy","6 mph","6.0","NNW","10.0 miles","10.0","98354"
"08:56 a.m.","""Kailua HI""","80 F","80.0","Mostly Cloudy","9 mph","9.0","E","7.0 miles","7.0","96734"
"02:25 p.m.","""Merna NE""","84 F","84.0","Sunny and Windy","30 mph","30.0","SSE","10.0 miles","10.0","68856"
"02:25 p.m.","""Jackson MS""","75 F","75.0","Cloudy","1 mph","1.0","SE","6.0 miles","6.0","39212"
"02:25 p.m.","""Rock Rapids IA""","87 F","87.0","Sunny","18 mph","18.0","SSW","10.0 miles","10.0","51246"
"03:25 p.m.","""Liberty KY""","90 F","90.0","Sunny","5 mph","5.0","W","10.0 miles","10.0","42539"
"02:25 p.m.","""Opelika AL""","80 F","80.0","Thunder in the Vicinity","5 mph","5.0","ESE","10.0 miles","10.0","36801"
"02:25 p.m.","""Houston TX""","93 F","93.0","Partly Cloudy","17 mph","17.0","SSE","10.0 miles","10.0","77041"
"01:25 p.m.","""Rapid City SD""","85 F","85.0","Partly Cloudy","19 mph","19.0","SSE","10.0 miles","10.0","57701"
